Size,Mean_GFLOPS,Variance
327,4.44832,2.51353
328,4.46508,2.51177
329,4.43482,2.33017
330,4.48731,2.40802
331,4.49511,2.41003
332,4.52184,2.40968
333,4.52404,2.39204
334,4.53986,2.32599
335,4.54988,2.34469
336,4.57691,2.35575
337,4.57669,2.31386
338,4.58317,2.2277
339,4.61573,2.32902
340,4.65107,2.33952
341,4.63895,2.27066
342,4.65102,2.20066
343,4.67228,2.26013
344,4.72957,2.38005
345,4.68839,2.22857
346,4.7304,2.26454
347,4.75949,2.33143
348,4.795,2.36697
349,4.82707,2.35278
350,4.82936,2.38451
351,4.81325,2.32132
352,4.88558,2.55793
353,4.88204,2.45048
354,4.95778,2.62745
355,4.92806,2.53143
356,4.98636,2.7073
357,4.96853,2.64478
358,5.0142,2.7238
359,5.01939,2.743
360,5.04252,2.77598
361,5.03262,2.70352
362,5.05228,2.66085
363,5.05206,2.67083
364,5.03993,2.54487
365,5.06691,2.63051
366,5.07071,2.54768
367,5.07915,2.58485
368,5.08819,2.56958
369,5.10153,2.55217
370,5.1013,2.46875
371,5.10883,2.51075
372,5.11535,2.43654
373,5.12741,2.45866
374,5.14188,2.40726
375,5.11941,2.36646
376,5.14309,2.37766
377,5.1595,2.37856
378,5.15395,2.28978
379,5.17179,2.34122
380,5.17465,2.27362
381,5.18178,2.28885
382,5.18612,2.20148
383,5.17424,2.19265
384,5.20909,2.21661
385,5.21791,2.21306
386,5.22786,2.14659
387,5.23496,2.17415
388,5.26034,2.15043
389,5.23244,2.09952
390,5.25268,2.05463
391,5.25215,2.06751
392,5.27857,2.07848
393,5.28452,2.07335
394,5.27629,1.96739
395,5.31075,2.05208
396,5.33005,2.01386
397,5.32191,2.00664
398,5.34921,1.97582
399,5.3245,1.94915
400,5.35904,1.98441
401,5.34366,1.93356
402,5.36921,1.91426
403,5.36233,1.89487
404,5.38939,1.88453
405,5.39081,1.88648
406,5.42632,1.88991
407,5.40272,1.85305
408,5.4259,1.8718
409,5.43757,1.85643
410,5.45451,1.82843
411,5.46476,1.85256
412,5.49123,1.8404
413,5.46672,1.81509
414,5.48538,1.7807
415,5.49832,1.81747
416,5.53689,1.84881
417,5.48987,1.76153
418,5.55847,1.812
419,5.52578,1.77297
420,5.56196,1.79204
421,5.53209,1.76969
422,5.59834,1.80215
423,5.5662,1.75522
424,5.58162,1.78129
425,5.61538,1.80474
426,5.65434,1.82421
427,5.6284,1.79348
428,5.66755,1.83698
429,5.67345,1.83698
430,5.69616,1.84851
431,5.69553,1.84142
432,5.71032,1.89099
433,5.70884,1.84112
434,5.74637,1.8811
435,5.74287,1.88021
436,5.78377,1.95427
437,5.76173,1.89352
438,5.78959,1.93044
439,5.75202,1.87755
440,5.76147,1.91159
441,5.79316,1.93656
442,5.80351,1.90044
443,5.76945,1.86201
444,5.79583,1.86492
445,5.77713,1.84382
446,5.80057,1.82835
447,5.78608,1.82134
448,5.81761,1.83721
449,5.81794,1.83311
450,5.80701,1.76599
451,5.82817,1.81417
452,5.83751,1.78411
453,5.83799,1.78623
454,5.81333,1.70407
455,5.84835,1.7756
456,5.8454,1.74278
457,5.84612,1.73738
458,5.42825,1.84136
459,5.83746,1.68826
460,5.86258,1.67433
461,5.82996,1.6448
462,5.86144,1.63585
463,5.8722,1.66375
464,5.87573,1.63302
465,5.86625,1.62254
466,5.86978,1.57542
467,5.85807,1.58072
468,5.88122,1.57119
469,5.8567,1.54963
470,5.86609,1.51657
471,5.8621,1.5274
472,5.87798,1.52075
473,5.87849,1.51102
474,5.89706,1.48304
475,5.89292,1.49787
476,5.91432,1.48071
477,5.89312,1.46271
478,5.92108,1.44693
479,5.92407,1.46878
480,5.91,1.43265
481,5.88855,1.40239
482,5.91491,1.38353
483,5.94073,1.43797
484,5.94739,1.40512
485,5.94149,1.40373
486,5.95175,1.36282
487,5.95266,1.39015
488,5.9456,1.34666
489,5.95994,1.36938
490,5.96343,1.32393
491,5.9432,1.32025
492,5.95036,1.28303
493,5.96995,1.32175
494,5.98294,1.28904
495,5.97993,1.30129
496,5.94829,1.24924
497,5.96971,1.26386
498,5.97208,1.22159
499,5.98763,1.25999
500,5.99772,1.22148
501,5.98538,1.23516
502,6.00538,1.19758
503,6.00439,1.22146
504,6.00604,1.1969
505,5.99597,1.1868
506,6.01347,1.15665
507,6.01294,1.17891
508,6.02359,1.14379
509,6.03278,1.17287
510,6.03401,1.12334
511,6.02658,1.14284
512,6.03249,1.09306
513,6.03391,1.12583
514,6.0589,1.09876
515,6.03702,1.10373
516,6.03815,1.05621
517,6.04289,1.08945
518,6.02594,1.01368
519,6.04449,1.06397
520,6.0426,1.03917
521,6.04491,1.04068
522,6.07155,1.01042
523,6.06573,1.03317
524,6.04237,0.969298
525,6.06753,1.01014
526,6.0772,0.969718
527,6.07906,0.9954
528,6.06039,0.957565
529,6.08276,0.979563
530,6.07002,0.925157
531,6.05545,0.937319
532,6.08135,0.909899
533,6.08142,0.935092
534,6.10431,0.903433
535,6.07865,0.899486
536,6.10476,0.90806
537,6.06152,0.870256
538,6.0687,0.825809
539,6.07823,0.872086
540,6.07358,0.814941
541,6.10907,0.871356
542,6.10695,0.822811
543,6.1014,0.842668
544,6.11442,0.817626
545,6.10414,0.828475
546,6.12481,0.804332
547,6.10967,0.817325
548,6.09634,0.764809
549,6.13936,0.814543
550,6.14329,0.764931
551,6.14464,0.797197
552,6.10374,0.743654
553,6.16146,0.794877
554,6.15166,0.742992
555,6.1141,0.743432
556,6.11869,0.708286
557,6.14397,0.750045
558,6.12107,0.686398
559,6.13126,0.723038
560,6.12159,0.683991
561,6.15823,0.718938
562,6.1356,0.662739
563,6.13146,0.687099
564,6.1717,0.680326
565,6.13593,0.673015
566,6.17064,0.645031
567,6.18276,0.685404
568,6.16542,0.651457
569,6.15431,0.656063
570,6.19463,0.635352
571,6.16142,0.636292
572,6.1945,0.628988
573,6.17977,0.634219
574,6.18858,0.597997
575,6.16853,0.616132
576,6.21097,0.612269
577,6.20087,0.626365
578,6.19864,0.581078
579,6.20761,0.61025
580,6.20984,0.573113
581,6.20509,0.589643
582,6.17862,0.554399
583,6.18711,0.568617
584,6.19635,0.549122
585,6.22499,0.580363
586,6.24065,0.545996
587,6.22704,0.564853
588,6.22397,0.531096
589,6.25147,0.569108
590,6.24657,0.52585
591,6.22362,0.528963
592,6.22218,0.512105
593,6.22343,0.527184
594,6.23918,0.493831
595,6.22401,0.515175
596,6.09503,0.411442
597,6.13544,0.474379
598,6.16356,0.447975
599,6.13492,0.459985
600,6.15731,0.445179
601,6.15988,0.458631
602,6.13885,0.417845
603,6.14736,0.437685
604,6.14308,0.410843
605,6.17223,0.4393
606,6.18611,0.411897
607,6.17667,0.434479
608,6.16244,0.400183
609,6.16941,0.414578
610,6.16378,0.387138
611,6.12788,0.385814
612,6.17021,0.381711
613,6.16451,0.398321
614,6.16286,0.362728
615,6.17659,0.399387
616,6.14726,0.355747
617,6.17929,0.386948
618,6.1646,0.349826
619,6.15922,0.370455
620,6.18923,0.356242
621,6.15672,0.367919
622,6.15442,0.327051
623,6.14398,0.345597
624,6.16386,0.333575
625,6.19049,0.35319
626,6.16832,0.316952
627,6.20345,0.351858
628,6.20756,0.32977
629,6.19121,0.340123
630,6.18094,0.308683
631,6.18259,0.326449
632,6.18869,0.308196
633,6.22174,0.33938
634,6.20871,0.294127
635,6.2093,0.324719
636,6.21604,0.296727
637,6.25787,0.351329
638,6.33294,0.312936
639,6.33033,0.346623
640,6.33694,0.327127
641,6.34021,0.339179
642,6.33241,0.307246
643,6.33593,0.328895
644,6.35434,0.311416
645,6.33766,0.318427
646,6.34966,0.298951
647,6.35605,0.316564
648,6.37689,0.309146
649,6.35289,0.309245
650,6.35723,0.292156
651,6.3662,0.313029
652,6.37435,0.282342
653,6.35763,0.288645
654,6.38463,0.278405
655,6.35896,0.285745
656,6.39359,0.270092
657,6.39299,0.278614
658,6.35898,0.249139
659,6.35142,0.263472
660,6.36999,0.245517
661,6.38084,0.266697
662,6.37141,0.237907
663,6.37938,0.25493
664,6.38067,0.239484
665,6.37171,0.250497
666,6.37414,0.225186
667,6.37993,0.24201
668,6.41003,0.233732
669,6.36046,0.23315
670,6.34687,0.21266
671,6.33047,0.230752
672,6.34253,0.21577
673,6.24469,0.204413
674,6.27242,0.196579
675,6.26189,0.221137
676,6.26094,0.190834
677,6.26177,0.207225
678,6.25828,0.190571
679,6.23038,0.198624
680,6.25303,0.184067
681,6.23688,0.196548
682,6.25511,0.176585
683,6.2431,0.192428
684,6.26436,0.178417
685,6.25643,0.18731
686,6.2564,0.167593
687,6.26775,0.18581
688,6.2617,0.169032
689,6.2755,0.187178
690,6.27739,0.166572
691,6.29828,0.184528
692,6.28559,0.163441
693,6.25917,0.173016
694,6.27215,0.152349
695,6.26405,0.171395
696,6.28046,0.15835
697,6.28961,0.162983
698,6.27758,0.147323
699,6.295,0.168202
700,6.27815,0.137532
701,6.3072,0.157972
702,6.29017,0.134223
703,6.26734,0.148493
704,6.31167,0.135237
705,6.28494,0.14578
706,6.27023,0.122139
707,6.30096,0.14581
708,6.3392,0.129724
709,6.28047,0.137472
710,6.33813,0.129868
711,6.30514,0.135207
712,6.33343,0.126643
713,6.34405,0.140739
714,6.31182,0.113259
715,6.35108,0.138152
716,6.36911,0.123519
717,6.34777,0.136893
718,6.37636,0.119391
719,6.35629,0.131765
720,6.33927,0.115148
721,6.33341,0.129033
722,6.34612,0.111037
723,6.35813,0.12875
724,6.3789,0.111765
725,6.35746,0.122987
726,6.35197,0.109131
727,6.34602,0.119846
728,6.33694,0.104582
729,6.33358,0.110981
730,6.35098,0.099076
731,6.36492,0.116974
732,6.35028,0.100848
733,6.35295,0.112952
734,6.34182,0.0966994
735,6.35007,0.110477
736,6.34065,0.0936185
737,6.32137,0.101079
738,6.34999,0.0914527
739,6.34107,0.10326
740,6.3563,0.090522
741,6.35075,0.105056
742,6.36979,0.0888393
743,6.35177,0.0998106
744,6.35554,0.0825415
745,6.35917,0.095314
746,6.36748,0.0848663
747,6.35139,0.0943242
748,6.36509,0.0810195
749,6.36357,0.0938632
750,6.37681,0.0804484
751,6.37041,0.0905965
752,6.36802,0.0743974
753,6.35598,0.084841
754,6.36631,0.0731886
755,6.40006,0.0900756
756,6.4048,0.0765288
757,6.37076,0.0829797
758,6.38823,0.0754466
759,6.3791,0.0833616
760,6.38519,0.0706629
761,6.37349,0.0800551
762,6.37614,0.0674305
763,6.40575,0.0816051
764,6.39086,0.0669536
765,6.40026,0.0792551
766,6.16151,0.220686
767,6.4103,0.0758921
768,6.38803,0.0609786
769,6.40773,0.0770108
770,6.40971,0.0626132
771,6.40707,0.0754636
772,6.39549,0.0599748
773,6.39591,0.0699802
774,6.10649,0.738391
775,6.40613,0.069082
776,6.3995,0.0583313
777,6.41752,0.0722929
778,6.43057,0.0544208
779,6.41582,0.0661297
780,6.42391,0.0509664
781,6.41467,0.0612204
782,6.43444,0.0530462
783,6.45118,0.0623705
784,6.44794,0.052687
785,6.4291,0.0607526
786,6.44548,0.0495225
787,6.29665,0.141389
788,6.46034,0.0510785
789,6.45411,0.0577759
790,6.46425,0.0487363
791,6.45435,0.0567727
792,6.45346,0.0419195
793,6.44858,0.0543558
794,6.45351,0.0444533
795,6.42655,0.0528384
796,6.45829,0.0435288
797,6.43196,0.0447982
798,6.43019,0.0409147
799,6.44667,0.0519761
800,6.45571,0.0419387
801,6.463,0.0492652
802,6.47005,0.0406074
803,6.13594,0.298632
804,6.46807,0.0347831
805,6.47733,0.0482808
806,6.45363,0.0310527
807,6.44319,0.0392966
808,6.47155,0.0358734
809,6.45231,0.0449885
810,6.46255,0.035958
811,6.45916,0.0411099
